"time_seconds","time_minutes","Q_m3_s"
2435,40.5833333333333,300.35
2440,40.6666666666667,298.43
2445,40.75,296.52
2450,40.8333333333333,294.62
2455,40.9166666666667,292.73
2460,41,290.85
2465,41.0833333333333,288.98
2470,41.1666666666667,287.12
2475,41.25,285.27
2480,41.3333333333333,283.43
2485,41.4166666666667,281.61
2490,41.5,279.79
2495,41.5833333333333,277.98
2500,41.6666666666667,276.18
2505,41.75,274.39
2510,41.8333333333333,272.61
2515,41.9166666666667,270.84
2520,42,269.09
2525,42.0833333333333,267.34
2530,42.1666666666667,265.6
2535,42.25,263.87
2540,42.3333333333333,262.15
2545,42.4166666666667,260.44
2550,42.5,258.74
2555,42.5833333333333,257.05
2560,42.6666666666667,255.37
2565,42.75,253.7
2570,42.8333333333333,252.03
2575,42.9166666666667,250.38
2580,43,248.74
2585,43.0833333333333,247.11
2590,43.1666666666667,245.48
2595,43.25,243.87
2600,43.3333333333333,242.26
2605,43.4166666666667,240.66
2610,43.5,239.08
2615,43.5833333333333,237.5
2620,43.6666666666667,235.93
2625,43.75,234.37
2630,43.8333333333333,232.82
2635,43.9166666666667,231.28
2640,44,229.74
2645,44.0833333333333,228.22
2650,44.1666666666667,226.7
2655,44.25,225.2
2660,44.3333333333333,223.7
2665,44.4166666666667,222.21
2670,44.5,220.73
2675,44.5833333333333,219.26
2680,44.6666666666667,217.8
2685,44.75,216.34
2690,44.8333333333333,214.9
2695,44.9166666666667,213.46
2700,45,212.03
2705,45.0833333333333,210.61
2710,45.1666666666667,209.2
2715,45.25,207.8
2720,45.3333333333333,206.41
2725,45.4166666666667,205.02
2730,45.5,203.64
2735,45.5833333333333,202.27
2740,45.6666666666667,200.91
2745,45.75,199.56
2750,45.8333333333333,198.21
2755,45.9166666666667,196.87
2760,46,195.55
2765,46.0833333333333,194.22
2770,46.1666666666667,192.91
2775,46.25,191.61
2780,46.3333333333333,190.31
2785,46.4166666666667,189.02
2790,46.5,187.74
2795,46.5833333333333,186.46
2800,46.6666666666667,185.2
2805,46.75,183.94
2810,46.8333333333333,182.69
2815,46.9166666666667,181.45
2820,47,180.21
2825,47.0833333333333,178.98
2830,47.1666666666667,177.76
2835,47.25,176.55
2840,47.3333333333333,175.34
2845,47.4166666666667,174.15
2850,47.5,172.96
2855,47.5833333333333,171.77
2860,47.6666666666667,170.6
2865,47.75,169.43
2870,47.8333333333333,168.27
2875,47.9166666666667,167.11
2880,48,165.97
2885,48.0833333333333,164.83
2890,48.1666666666667,163.69
2895,48.25,162.57
2900,48.3333333333333,161.45
2905,48.4166666666667,160.34
2910,48.5,159.23
2915,48.5833333333333,158.13
2920,48.6666666666667,157.04
2925,48.75,155.96
2930,48.8333333333333,154.88
2935,48.9166666666667,153.81
2940,49,152.75
2945,49.0833333333333,151.69
2950,49.1666666666667,150.64
2955,49.25,149.6
2960,49.3333333333333,148.56
2965,49.4166666666667,147.53
2970,49.5,146.5
2975,49.5833333333333,145.49
2980,49.6666666666667,144.48
2985,49.75,143.47
2990,49.8333333333333,142.47
2995,49.9166666666667,141.48
3000,50,140.49
3005,50.0833333333333,139.52
3010,50.1666666666667,138.54
3015,50.25,137.58
3020,50.3333333333333,136.61
3025,50.4166666666667,135.66
3030,50.5,134.71
3035,50.5833333333333,133.77
3040,50.6666666666667,132.83
3045,50.75,131.9
3050,50.8333333333333,130.98
3055,50.9166666666667,130.06
3060,51,129.15
3065,51.0833333333333,128.24
3070,51.1666666666667,127.34
3075,51.25,126.44
3080,51.3333333333333,125.56
3085,51.4166666666667,124.67
3090,51.5,123.79
3095,51.5833333333333,122.92
3100,51.6666666666667,122.06
3105,51.75,121.2
3110,51.8333333333333,120.34
3115,51.9166666666667,119.49
3120,52,118.65
3125,52.0833333333333,117.81
3130,52.1666666666667,116.98
3135,52.25,116.15
3140,52.3333333333333,115.33
3145,52.4166666666667,114.51
3150,52.5,113.7
3155,52.5833333333333,112.89
3160,52.6666666666667,112.09
3165,52.75,111.3
3170,52.8333333333333,110.51
3175,52.9166666666667,109.72
3180,53,108.94
3185,53.0833333333333,108.17
3190,53.1666666666667,107.4
3195,53.25,106.63
3200,53.3333333333333,105.87
3205,53.4166666666667,105.12
3210,53.5,104.37
3215,53.5833333333333,103.62
3220,53.6666666666667,102.88
3225,53.75,102.15
3230,53.8333333333333,101.42
3235,53.9166666666667,100.69
3240,54,99.97
3245,54.0833333333333,99.26
3250,54.1666666666667,98.55
3255,54.25,97.84
3260,54.3333333333333,97.14
3265,54.4166666666667,96.45
3270,54.5,95.75
3275,54.5833333333333,95.07
3280,54.6666666666667,94.38
3285,54.75,93.71
3290,54.8333333333333,93.03
3295,54.9166666666667,92.36
3300,55,91.7
3305,55.0833333333333,91.04
3310,55.1666666666667,90.38
3315,55.25,89.73
3320,55.3333333333333,89.09
3325,55.4166666666667,88.44
3330,55.5,87.81
3335,55.5833333333333,87.17
3340,55.6666666666667,86.54
3345,55.75,85.92
3350,55.8333333333333,85.3
3355,55.9166666666667,84.68
3360,56,84.07
3365,56.0833333333333,83.46
3370,56.1666666666667,82.85
3375,56.25,82.25
3380,56.3333333333333,81.66
3385,56.4166666666667,81.07
3390,56.5,80.48
3395,56.5833333333333,79.89
3400,56.6666666666667,79.31
3405,56.75,78.74
3410,56.8333333333333,78.17
3415,56.9166666666667,77.6
3420,57,77.03
3425,57.0833333333333,76.47
3430,57.1666666666667,75.92
3435,57.25,75.36
3440,57.3333333333333,74.81
3445,57.4166666666667,74.27
3450,57.5,73.73
3455,57.5833333333333,73.19
3460,57.6666666666667,72.66
3465,57.75,72.13
3470,57.8333333333333,71.6
3475,57.9166666666667,71.08
3480,58,70.56
3485,58.0833333333333,70.04
3490,58.1666666666667,69.53
3495,58.25,69.02
3500,58.3333333333333,68.51
3505,58.4166666666667,68.01
3510,58.5,67.51
3515,58.5833333333333,67.02
3520,58.6666666666667,66.53
3525,58.75,66.04
3530,58.8333333333333,65.55
3535,58.9166666666667,65.07
3540,59,64.59
3545,59.0833333333333,64.12
3550,59.1666666666667,63.65
3555,59.25,63.18
3560,59.3333333333333,62.71
3565,59.4166666666667,62.25
3570,59.5,61.79
3575,59.5833333333333,61.34
3580,59.6666666666667,60.89
3585,59.75,60.44
3590,59.8333333333333,59.99
3595,59.9166666666667,59.55
3600,60,59.11
3605,60.0833333333333,58.67
3610,60.1666666666667,58.24
3615,60.25,57.81
3620,60.3333333333333,57.38
3625,60.4166666666667,56.96
3630,60.5,56.54
3635,60.5833333333333,56.12
3640,60.6666666666667,55.7
3645,60.75,55.29
3650,60.8333333333333,54.88
3655,60.9166666666667,54.47
3660,61,54.07
3665,61.0833333333333,53.67
3670,61.1666666666667,53.27
3675,61.25,52.88
3680,61.3333333333333,52.48
3685,61.4166666666667,52.09
3690,61.5,51.71
3695,61.5833333333333,51.32
3700,61.6666666666667,50.94
3705,61.75,50.56
3710,61.8333333333333,50.18
3715,61.9166666666667,49.81
3720,62,49.44
3725,62.0833333333333,49.07
3730,62.1666666666667,48.71
3735,62.25,48.34
3740,62.3333333333333,47.98
3745,62.4166666666667,47.62
3750,62.5,47.27
3755,62.5833333333333,46.92
3760,62.6666666666667,46.56
3765,62.75,46.22
3770,62.8333333333333,45.87
3775,62.9166666666667,45.53
3780,63,45.19
3785,63.0833333333333,44.85
3790,63.1666666666667,44.51
3795,63.25,44.18
3800,63.3333333333333,43.85
3805,63.4166666666667,43.52
3810,63.5,43.19
3815,63.5833333333333,42.87
3820,63.6666666666667,42.55
3825,63.75,42.23
3830,63.8333333333333,41.91
3835,63.9166666666667,41.6
3840,64,41.29
3845,64.0833333333333,40.98
3850,64.1666666666667,40.67
3855,64.25,40.36
3860,64.3333333333333,40.06
3865,64.4166666666667,39.76
3870,64.5,39.46
3875,64.5833333333333,39.16
3880,64.6666666666667,38.87
3885,64.75,38.57
3890,64.8333333333333,38.28
3895,64.9166666666667,37.99
3900,65,37.71
3905,65.0833333333333,37.42
3910,65.1666666666667,37.14
3915,65.25,36.86
3920,65.3333333333333,36.58
3925,65.4166666666667,36.31
3930,65.5,36.03
3935,65.5833333333333,35.76
3940,65.6666666666667,35.49
3945,65.75,35.22
3950,65.8333333333333,34.95
3955,65.9166666666667,34.69
3960,66,34.43
3965,66.0833333333333,34.17
3970,66.1666666666667,33.91
3975,66.25,33.65
3980,66.3333333333333,33.4
3985,66.4166666666667,33.14
3990,66.5,32.89
3995,66.5833333333333,32.64
4000,66.6666666666667,32.39
4005,66.75,32.15
4010,66.8333333333333,31.9
4015,66.9166666666667,31.66
4020,67,31.42
4025,67.0833333333333,31.18
4030,67.1666666666667,30.94
4035,67.25,30.71
4040,67.3333333333333,30.48
4045,67.4166666666667,30.24
4050,67.5,30.01
4055,67.5833333333333,29.79
4060,67.6666666666667,29.56
4065,67.75,29.33
